,Player,Pos,Age,Tm,GS,MP,FG,FG%,3P,3P%,FT,FT%,TRB,AST,STL,BLK,TOV,PTS
332,Tyler Johnson,SG,27,PHO,3,16.6,2.1,0.38,0.8,0.289,0.8,0.75,1.7,1.6,0.4,0.3,0.8,5.7
333,Tyler Johnson,SG,27,BRK,4,24.3,4.0,0.405,1.8,0.389,2.3,1.0,3.0,3.0,0.5,0.1,0.6,12.0
334,Nikola Jokić,C,24,DEN,73,32.0,7.7,0.528,1.1,0.314,3.4,0.817,9.7,7.0,1.2,0.6,3.1,19.9
335,Damian Jones,C,24,ATL,27,16.1,2.2,0.68,0.0,0.222,1.1,0.738,3.7,0.6,0.5,0.7,0.5,5.6
336,Derrick Jones Jr.,SF,22,MIA,16,23.3,3.1,0.527,0.6,0.28,1.6,0.772,3.9,1.1,1.0,0.6,0.5,8.5
337,Tyus Jones,PG,23,MEM,6,19.0,3.0,0.459,0.7,0.379,0.7,0.741,1.6,4.4,0.9,0.1,0.8,7.4
338,DeAndre Jordan,C,31,BRK,6,22.0,3.4,0.666,0.0,0.0,1.5,0.68,10.0,1.9,0.3,0.9,1.3,8.3
339,Cory Joseph,PG,28,SAC,26,24.4,2.4,0.415,0.8,0.352,0.8,0.857,2.6,3.5,0.7,0.3,1.1,6.4
340,Mfiondu Kabengele,C,22,LAC,0,5.3,1.2,0.438,0.8,0.45,0.4,1.0,0.9,0.2,0.2,0.2,0.2,3.5
341,Frank Kaminsky,C,26,PHO,13,19.9,3.5,0.45,1.1,0.331,1.6,0.678,4.5,1.9,0.4,0.3,0.9,9.7
342,Enes Kanter,C,27,BOS,7,16.9,3.4,0.572,0.0,0.143,1.2,0.707,7.4,1.0,0.4,0.7,1.0,8.1
343,Luke Kennard,SG,23,DET,25,32.9,5.4,0.442,2.6,0.399,2.4,0.893,3.5,4.1,0.4,0.2,1.5,15.8
344,Stanton Kidd,SF,27,UTA,0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.0,0.0,0.5,0.0
345,Michael Kidd-Gilchrist,SF-PF,26,TOT,0,11.2,0.9,0.333,0.2,0.25,0.4,0.786,2.7,0.6,0.1,0.2,0.6,2.4
346,Michael Kidd-Gilchrist,PF,26,CHO,0,13.3,1.5,0.34,0.4,0.294,0.6,0.778,2.9,0.8,0.0,0.3,0.6,4.0
347,Michael Kidd-Gilchrist,SF,26,DAL,0,9.3,0.3,0.308,0.0,0.0,0.3,0.8,2.5,0.3,0.2,0.2,0.7,0.9
348,Louis King,SF,20,DET,0,6.2,0.8,0.381,0.4,0.364,0.0,0.0,1.0,0.5,0.2,0.0,0.2,2.0
349,Maxi Kleber,C,28,DAL,21,25.5,3.2,0.461,1.6,0.373,1.1,0.849,5.2,1.2,0.3,1.1,0.8,9.1
350,Brandon Knight,PG,28,TOT,3,18.5,2.4,0.353,1.8,0.344,0.8,0.588,1.6,2.8,0.4,0.1,1.5,7.3
351,Brandon Knight,PG,28,CLE,0,15.1,1.8,0.326,1.2,0.297,0.3,0.308,1.3,1.9,0.3,0.1,1.0,4.9
352,Brandon Knight,PG,28,DET,3,24.6,3.4,0.383,2.9,0.388,1.8,0.762,2.3,4.2,0.6,0.1,2.4,11.6
353,Kevin Knox,SF,20,NYK,4,17.9,2.2,0.359,1.0,0.327,1.0,0.653,2.8,0.9,0.4,0.4,0.7,6.4
354,John Konchar,SG,23,MEM,0,9.5,1.3,0.649,0.3,0.5,0.1,0.5,2.5,1.2,0.4,0.2,0.4,2.8
355,Furkan Korkmaz,SG,22,PHI,12,21.7,3.4,0.43,2.0,0.402,1.1,0.755,2.3,1.1,0.6,0.2,0.8,9.8
356,Luke Kornet,C,24,CHI,14,15.5,2.3,0.439,0.9,0.287,0.6,0.714,2.3,0.9,0.3,0.7,0.4,6.0
357,Kyle Korver,SF,38,MIL,1,16.6,2.2,0.43,1.7,0.418,0.6,0.854,2.1,1.2,0.4,0.2,0.8,6.7
358,Rodions Kurucs,PF,21,BRK,9,14.6,1.7,0.446,0.7,0.367,0.5,0.632,2.9,1.1,0.5,0.1,1.0,4.6
359,Kyle Kuzma,PF,24,LAL,9,25.0,4.8,0.436,1.4,0.316,1.9,0.735,4.5,1.3,0.5,0.4,1.5,12.8
360,Skal Labissière,C,23,POR,1,17.2,2.5,0.551,0.1,0.231,0.8,0.758,5.1,1.3,0.2,0.9,0.9,5.8
361,Jeremy Lamb,SG,27,IND,42,28.1,4.7,0.451,1.2,0.335,2.0,0.836,4.3,2.1,1.2,0.5,1.1,12.5
362,Romeo Langford,SG,20,BOS,2,11.6,0.9,0.35,0.2,0.185,0.6,0.72,1.3,0.4,0.3,0.3,0.3,2.5
363,Zach LaVine,SG,24,CHI,60,34.8,9.0,0.45,3.1,0.38,4.5,0.802,4.8,4.2,1.5,0.5,3.4,25.5
364,Vic Law,SF,24,ORL,0,7.8,0.8,0.333,0.1,0.143,0.3,0.333,1.4,0.4,0.3,0.0,0.3,1.9
365,Jake Layman,PF,25,MIN,2,22.0,3.5,0.453,1.0,0.333,1.0,0.75,2.5,0.7,0.7,0.4,1.0,9.1
366,T.J. Leaf,PF,22,IND,1,7.9,1.3,0.419,0.2,0.278,0.3,0.438,2.5,0.3,0.4,0.1,0.3,3.0
367,Jalen Lecque,PG,19,PHO,0,6.4,0.8,0.4,0.0,0.0,0.4,1.0,0.4,0.4,0.0,0.0,0.4,2.0
368,Courtney Lee,SG,34,DAL,9,14.4,1.7,0.488,0.9,0.447,0.3,0.857,1.3,0.5,0.8,0.3,0.5,4.5
369,Damion Lee,SG,27,GSW,36,29.0,4.3,0.417,1.7,0.356,2.2,0.873,4.9,2.7,1.0,0.1,1.4,12.7
370,Alex Len,C,26,TOT,12,17.6,3.2,0.555,0.3,0.271,1.2,0.648,5.8,0.9,0.4,0.9,1.0,8.0
371,Alex Len,C,26,ATL,9,18.6,3.6,0.546,0.4,0.25,1.3,0.63,5.8,1.1,0.5,0.8,1.0,8.7
372,Alex Len,C,26,SAC,3,15.0,2.3,0.593,0.1,0.667,1.1,0.708,6.1,0.5,0.2,1.0,1.1,5.9
373,Kawhi Leonard,SF,28,LAC,57,32.4,9.3,0.47,2.2,0.378,6.2,0.886,7.1,4.9,1.8,0.6,2.6,27.1
374,Meyers Leonard,C,27,MIA,49,20.3,2.3,0.509,1.0,0.414,0.4,0.643,5.1,1.1,0.3,0.3,0.8,6.1
375,Caris LeVert,SG,25,BRK,31,29.6,6.9,0.425,1.8,0.364,3.1,0.711,4.2,4.4,1.2,0.2,2.6,18.7
376,Damian Lillard,PG,29,POR,66,37.5,9.5,0.463,4.1,0.401,7.0,0.888,4.3,8.0,1.1,0.3,2.9,30.0
377,Nassir Little,PF,19,POR,5,11.9,1.4,0.43,0.3,0.237,0.6,0.636,2.3,0.5,0.3,0.3,0.3,3.6
378,Kevon Looney,C,23,GSW,4,13.1,1.5,0.367,0.1,0.071,0.5,0.75,3.3,1.0,0.6,0.3,0.6,3.4
379,Brook Lopez,C,31,MIL,67,26.7,4.3,0.435,1.5,0.314,1.9,0.836,4.6,1.5,0.7,2.4,1.0,12.0
380,Robin Lopez,C,31,MIL,5,14.5,2.2,0.492,0.5,0.333,0.4,0.528,2.4,0.7,0.2,0.7,1.0,5.4
381,Kevin Love,PF,31,CLE,56,31.8,5.8,0.45,2.6,0.374,3.3,0.854,9.8,3.2,0.6,0.3,2.5,17.6
382,Kyle Lowry,PG,33,TOR,58,36.2,5.8,0.416,2.8,0.352,5.1,0.857,5.0,7.5,1.4,0.4,3.1,19.4
383,Timothé Luwawu-Cabarrot,SG,24,BRK,2,18.1,2.5,0.435,1.3,0.388,1.5,0.852,2.7,0.6,0.4,0.1,0.8,7.8
384,Trey Lyles,PF,24,SAS,53,20.2,2.4,0.446,1.0,0.387,0.5,0.733,5.7,1.1,0.4,0.4,0.6,6.4
385,Daryl Macon,SG,24,MIA,0,3.5,0.3,0.333,0.3,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.8
386,J.P. Macura,SG,24,CLE,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Josh Magette,PG,30,ORL,0,4.8,0.6,0.333,0.1,0.25,0.1,0.5,0.8,0.6,0.4,0.1,0.6,1.5
388,Ian Mahinmi,C,33,WAS,35,21.3,2.7,0.495,0.1,0.192,1.8,0.619,5.7,1.3,0.8,1.2,1.2,7.4
389,Thon Maker,C,22,DET,14,12.9,1.6,0.482,0.4,0.344,1.2,0.664,2.8,0.7,0.4,0.7,0.8,4.7
390,Terance Mann,SG,23,LAC,6,8.8,0.9,0.468,0.2,0.35,0.4,0.667,1.3,1.3,0.3,0.1,0.4,2.4
391,Boban Marjanović,C,31,DAL,5,9.6,2.8,0.573,0.1,0.235,1.0,0.754,4.5,0.5,0.2,0.2,0.7,6.6
392,Lauri Markkanen,PF,22,CHI,50,29.8,5.0,0.425,2.2,0.344,2.5,0.824,6.3,1.5,0.8,0.5,1.6,14.7
393,Caleb Martin,SF,24,CHO,1,17.6,2.1,0.44,1.1,0.541,0.9,0.81,2.1,1.3,0.7,0.4,0.8,6.2
394,Cody Martin,SF,24,CHO,3,18.8,1.9,0.43,0.4,0.234,0.9,0.646,3.3,2.0,0.8,0.2,0.9,5.0
395,Jeremiah Martin,PG,23,BRK,0,11.0,2.7,0.453,0.6,0.278,1.2,0.786,1.1,2.0,0.8,0.2,0.4,7.1
396,Kelan Martin,SF,24,MIN,4,16.0,2.3,0.392,0.8,0.26,1.0,0.968,3.1,0.7,0.2,0.3,0.6,6.4
397,Frank Mason III,PG,25,MIL,0,13.1,2.6,0.451,0.7,0.286,1.1,0.588,2.1,3.2,0.6,0.1,1.2,6.9
398,Garrison Mathews,SG,23,WAS,0,12.6,1.3,0.429,1.1,0.413,1.7,0.912,1.3,0.6,0.4,0.1,0.4,5.4
399,Wesley Matthews,SG,33,MIL,67,24.4,2.5,0.396,1.6,0.364,0.8,0.765,2.5,1.4,0.6,0.1,0.6,7.4
400,Luc Mbah a Moute,PF,33,HOU,0,8.3,0.7,0.4,0.0,0.0,0.3,0.5,0.7,0.0,0.7,0.0,0.3,1.7
401,Patrick McCaw,SF,24,TOR,12,24.5,1.8,0.414,0.6,0.324,0.4,0.722,2.3,2.1,1.1,0.1,0.8,4.6
402,CJ McCollum,SG,28,POR,70,36.5,8.7,0.451,2.8,0.379,2.0,0.757,4.2,4.4,0.8,0.6,1.8,22.2
403,T.J. McConnell,PG,27,IND,3,18.7,3.0,0.516,0.1,0.294,0.5,0.833,2.7,5.0,0.8,0.2,1.4,6.5
404,Jalen McDaniels,PF,22,CHO,0,18.3,2.1,0.471,0.6,0.375,0.9,0.824,4.1,0.8,0.5,0.2,0.7,5.6
405,Doug McDermott,PF,28,IND,0,19.9,3.9,0.488,1.9,0.435,0.7,0.828,2.5,1.1,0.2,0.1,0.6,10.3
406,JaVale McGee,C,32,LAL,68,16.6,2.9,0.637,0.0,0.5,0.8,0.646,5.7,0.5,0.5,1.4,0.8,6.6
407,Rodney McGruder,SG,28,LAC,4,15.6,1.3,0.398,0.4,0.27,0.3,0.559,2.7,0.6,0.5,0.1,0.4,3.3
408,Alfonzo McKinnie,SF,27,CLE,1,14.8,1.8,0.427,0.4,0.215,0.6,0.71,2.8,0.4,0.6,0.2,0.7,4.6
409,Jordan McLaughlin,PG,23,MIN,2,19.7,2.9,0.489,1.0,0.382,0.9,0.667,1.6,4.2,1.1,0.1,1.0,7.6
410,Ben McLemore,SG,26,HOU,23,22.8,3.4,0.444,2.5,0.4,0.7,0.746,2.2,0.8,0.6,0.2,0.7,10.1
411,Jordan McRae,SG,28,TOT,4,21.2,4.0,0.407,1.2,0.357,2.2,0.761,3.4,2.5,0.6,0.4,1.2,11.5
412,Jordan McRae,SG,28,WAS,4,22.6,4.6,0.42,1.4,0.377,2.2,0.771,3.6,2.8,0.7,0.5,1.3,12.8
413,Jordan McRae,SG,28,DEN,0,8.0,0.5,0.333,0.5,0.5,0.8,0.75,1.3,1.0,0.5,0.3,0.0,2.3
414,Jordan McRae,SG,28,DET,0,24.5,3.5,0.326,0.8,0.188,4.0,0.727,3.8,1.8,0.0,0.0,1.3,11.8
415,Nicolò Melli,C,29,NOP,8,17.4,2.3,0.421,1.2,0.335,0.9,0.74,3.0,1.4,0.6,0.4,0.8,6.6
416,De'Anthony Melton,PG,21,MEM,8,19.5,2.7,0.401,0.7,0.286,1.6,0.769,3.7,2.9,1.3,0.3,1.4,7.6
417,Chimezie Metu,PF,22,SAS,0,5.8,1.3,0.571,0.0,0.0,0.6,0.769,1.8,0.6,0.2,0.3,0.6,3.2
418,Khris Middleton,SF,28,MIL,59,29.9,7.6,0.497,2.4,0.415,3.4,0.916,6.2,4.3,0.9,0.1,2.2,20.9
419,Eric Mika,PF,25,SAC,0,19.0,2.0,0.667,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0
420,C.J. Miles,SG,32,WAS,0,16.1,1.9,0.322,1.1,0.314,1.5,0.75,1.2,1.2,1.0,0.4,0.4,6.4
421,Malcolm Miller,SF,26,TOR,1,5.8,0.4,0.414,0.3,0.364,0.1,0.375,0.6,0.4,0.2,0.1,0.1,1.3
422,Patty Mills,PG,31,SAS,1,22.5,3.9,0.431,2.3,0.382,1.5,0.866,1.6,1.8,0.8,0.1,0.8,11.6
423,Paul Millsap,PF,34,DEN,48,24.3,4.1,0.482,1.1,0.435,2.3,0.816,5.7,1.6,0.9,0.6,1.4,11.6
424,Shake Milton,SG,23,PHI,24,20.1,3.4,0.484,1.5,0.43,1.3,0.785,2.2,2.6,0.5,0.2,1.2,9.4
425,Donovan Mitchell,SG,23,UTA,69,34.3,8.7,0.449,2.5,0.366,4.0,0.863,4.4,4.3,1.0,0.2,2.7,24.0
426,Naz Mitrou-Long,SG,26,IND,0,9.4,1.2,0.353,0.4,0.167,0.0,0.0,1.4,1.6,0.2,0.2,0.6,2.8
427,Adam Mokoka,SG,21,CHI,0,10.2,1.1,0.429,0.5,0.4,0.2,0.5,0.9,0.4,0.4,0.0,0.2,2.9
428,Malik Monk,SG,21,CHO,1,21.3,3.9,0.434,1.1,0.284,1.5,0.82,2.9,2.1,0.5,0.3,1.4,10.3
429,Matt Mooney,SG,22,CLE,0,4.8,0.3,0.25,0.0,0.0,0.0,0.0,0.8,0.3,0.5,0.3,0.0,0.5
430,E'Twaun Moore,SG,30,NOP,6,18.2,3.3,0.426,1.1,0.377,0.6,0.689,2.3,1.4,0.6,0.2,0.7,8.3
431,Ja Morant,PG,20,MEM,67,31.0,6.7,0.477,0.9,0.335,3.6,0.776,3.9,7.3,0.9,0.3,3.3,17.8
432,Juwan Morgan,PF,22,UTA,0,6.4,0.7,0.577,0.1,0.375,0.1,0.75,1.4,0.3,0.0,0.1,0.3,1.7
433,Marcus Morris,SF-PF,30,TOT,62,31.2,5.7,0.438,2.3,0.408,2.9,0.823,5.0,1.4,0.8,0.5,1.6,16.7
434,Marcus Morris,SF,30,NYK,43,32.3,6.5,0.442,2.7,0.439,3.8,0.823,5.4,1.4,0.8,0.4,1.7,19.6
435,Marcus Morris,PF,30,LAC,19,28.9,3.9,0.425,1.4,0.31,0.9,0.818,4.1,1.4,0.7,0.7,1.3,10.1
436,Markieff Morris,PF,30,TOT,17,20.5,3.5,0.443,1.5,0.386,1.1,0.776,3.8,1.3,0.5,0.3,1.3,9.7
437,Markieff Morris,PF,30,DET,16,22.5,4.0,0.45,1.7,0.397,1.4,0.772,3.9,1.6,0.6,0.3,1.6,11.0
438,Markieff Morris,PF,30,LAL,1,14.2,2.0,0.406,0.9,0.333,0.4,0.833,3.2,0.6,0.4,0.4,0.4,5.3
439,Monte Morris,PG,24,DEN,12,22.4,3.6,0.459,0.9,0.378,1.0,0.843,1.9,3.5,0.8,0.2,0.7,9.0
440,Johnathan Motley,PF,24,LAC,0,3.2,0.8,0.733,0.1,1.0,0.4,0.714,0.8,0.6,0.2,0.0,0.4,2.2
441,Emmanuel Mudiay,PG,23,UTA,2,15.7,2.8,0.462,0.6,0.345,1.2,0.759,2.3,2.1,0.4,0.2,1.4,7.3
442,Mychal Mulder,SG,25,GSW,3,29.1,3.7,0.388,2.3,0.308,1.3,0.75,3.3,1.1,0.3,0.1,0.7,11.0
443,Dejounte Murray,PG,23,SAS,58,25.6,4.5,0.462,0.6,0.369,1.4,0.798,5.8,4.1,1.7,0.3,1.9,10.9
444,Jamal Murray,PG,22,DEN,59,32.3,6.9,0.456,1.9,0.346,2.8,0.881,4.0,4.8,1.1,0.3,2.2,18.5
445,Džanan Musa,SF,20,BRK,0,12.2,1.6,0.372,0.5,0.244,1.1,0.75,2.2,1.1,0.4,0.0,0.9,4.8
446,Mike Muscala,C,28,OKC,2,12.2,1.6,0.407,1.1,0.378,0.4,0.818,2.3,0.9,0.2,0.3,0.4,4.8
447,Sviatoslav Mykhailiuk,SF,22,DET,27,22.6,3.0,0.41,2.1,0.404,1.0,0.814,1.9,1.9,0.7,0.1,1.1,9.0
448,Abdel Nader,SF,26,OKC,6,15.8,2.2,0.468,0.9,0.375,0.9,0.773,1.8,0.7,0.4,0.4,0.8,6.3
449,Larry Nance Jr.,C,27,CLE,10,26.3,4.1,0.531,1.0,0.352,0.9,0.676,7.3,2.2,1.0,0.4,1.1,10.1
450,Shabazz Napier,PG,28,TOT,32,24.0,3.4,0.412,1.4,0.317,2.3,0.824,2.8,4.7,1.2,0.2,2.3,10.3
451,Shabazz Napier,PG,28,MIN,22,23.8,3.2,0.403,1.3,0.296,2.0,0.818,3.1,5.2,1.1,0.2,2.1,9.6
452,Shabazz Napier,PG,28,WAS,10,24.4,3.7,0.428,1.5,0.358,2.7,0.831,2.4,3.8,1.5,0.2,2.6,11.6
453,Raul Neto,PG,27,PHI,3,12.4,1.9,0.455,0.6,0.386,0.7,0.83,1.1,1.8,0.4,0.1,0.9,5.1
454,Malik Newman,SG,22,CLE,0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
455,Georges Niang,PF,26,UTA,1,14.0,2.1,0.438,1.4,0.4,0.3,0.833,1.9,0.7,0.3,0.1,0.5,5.9
456,Joakim Noah,C,34,LAC,0,10.0,0.8,0.5,0.0,0.0,1.2,0.75,3.2,1.4,0.2,0.2,1.2,2.8
457,Nerlens Noel,C,25,OKC,7,18.5,3.0,0.684,0.0,0.333,1.3,0.755,4.9,0.9,1.0,1.5,1.1,7.4
458,Zach Norvell,SG,22,TOT,0,8.2,0.6,0.25,0.6,0.375,0.2,1.0,1.2,0.6,0.4,0.0,0.6,2.0
459,Zach Norvell,SG,22,LAL,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
460,Zach Norvell,SG,22,GSW,0,12.0,1.0,0.273,1.0,0.375,0.3,1.0,1.7,1.0,0.7,0.0,1.0,3.3
461,Jaylen Nowell,SG,20,MIN,0,10.1,1.3,0.358,0.2,0.115,1.1,0.941,0.9,1.3,0.2,0.1,0.2,3.8
462,Frank Ntilikina,PG,21,NYK,26,20.8,2.3,0.393,0.8,0.321,0.9,0.864,2.1,3.0,0.9,0.3,1.2,6.3
463,Kendrick Nunn,SG,24,MIA,67,29.3,6.0,0.439,2.0,0.35,1.3,0.85,2.7,3.3,0.8,0.2,1.7,15.3
464,Jusuf Nurkić,C,25,POR,8,31.6,6.8,0.495,0.3,0.2,3.9,0.886,10.3,4.0,1.4,2.0,2.4,17.6
465,David Nwaba,SF,27,BRK,0,13.4,1.9,0.521,0.6,0.429,0.9,0.667,2.3,0.4,0.6,0.6,0.4,5.2
466,Royce O'Neale,PF,26,UTA,62,28.9,2.2,0.433,1.3,0.377,0.6,0.764,5.5,2.5,0.8,0.5,0.9,6.3
467,Kyle O'Quinn,C,29,PHI,2,10.8,1.4,0.494,0.2,0.259,0.4,0.55,4.0,1.8,0.2,0.8,0.7,3.5
468,Semi Ojeleye,PF,25,BOS,6,14.7,1.2,0.408,0.7,0.378,0.4,0.875,2.1,0.5,0.3,0.1,0.3,3.4
469,Jahlil Okafor,C,24,NOP,9,15.6,3.4,0.623,0.0,0.333,1.3,0.645,4.2,1.2,0.2,0.7,1.3,8.1
470,Elie Okobo,PG,22,PHO,3,13.1,1.3,0.398,0.5,0.352,0.9,0.704,1.6,2.1,0.4,0.1,0.7,4.0
471,Josh Okogie,SG,21,MIN,28,25.0,2.7,0.427,0.7,0.266,2.5,0.796,4.3,1.6,1.1,0.4,1.4,8.6
472,KZ Okpala,SF,20,MIA,0,5.2,0.6,0.6,0.0,0.0,0.2,0.5,1.0,0.2,0.4,0.2,0.2,1.4
473,Victor Oladipo,SG,27,IND,16,27.8,5.1,0.394,1.7,0.317,2.5,0.814,3.9,2.9,0.9,0.2,2.5,14.5
474,Kelly Olynyk,C,28,MIA,9,19.4,2.7,0.462,1.4,0.406,1.3,0.86,4.6,1.7,0.7,0.3,1.1,8.2
475,Miye Oni,SG,22,UTA,1,10.9,1.2,0.375,0.7,0.368,0.4,0.8,1.7,0.4,0.4,0.2,0.4,3.5
476,Cedi Osman,SF,24,CLE,65,29.4,4.1,0.437,1.9,0.383,1.0,0.67,3.6,2.4,0.8,0.2,1.4,11.0
477,Kelly Oubre Jr.,SF,24,PHO,55,34.5,6.7,0.452,1.9,0.352,3.4,0.78,6.4,1.5,1.3,0.7,1.5,18.7
478,Tariq Owens,PF,24,PHO,0,5.0,0.3,0.2,0.0,0.0,0.7,1.0,1.0,0.0,0.3,0.0,0.0,1.3
479,Jeremy Pargo,PG,33,GSW,0,14.7,3.7,0.5,1.0,0.429,0.0,0.0,1.0,2.7,0.3,0.0,1.3,8.3
480,Jabari Parker,PF,24,TOT,23,24.1,5.8,0.51,0.8,0.269,1.6,0.753,5.6,1.8,1.2,0.4,1.7,14.0
481,Jabari Parker,PF,24,ATL,23,26.2,6.2,0.504,1.0,0.27,1.7,0.736,6.0,1.8,1.3,0.5,1.9,15.0
482,Jabari Parker,PF,24,SAC,0,13.3,3.5,0.583,0.2,0.25,1.3,0.889,3.8,1.7,0.5,0.2,0.7,8.5
483,Chandler Parsons,SF,31,ATL,0,10.8,1.0,0.278,0.8,0.286,0.0,0.0,1.4,0.6,0.8,0.2,0.6,2.8
484,Eric Paschall,PF,23,GSW,26,27.6,5.3,0.497,0.6,0.287,2.7,0.774,4.6,2.1,0.5,0.2,1.6,14.0
485,Anžejs Pasečņiks,C,24,WAS,0,16.2,2.3,0.526,0.0,0.0,1.3,0.586,4.0,0.7,0.3,0.4,0.9,5.8
486,Patrick Patterson,PF,30,LAC,18,13.2,1.6,0.408,1.1,0.39,0.6,0.814,2.6,0.7,0.1,0.1,0.4,4.9
487,Justin Patton,C,22,OKC,0,4.8,0.8,0.4,0.2,0.25,0.0,0.0,1.0,0.4,0.0,0.0,0.4,1.8
488,Chris Paul,PG,34,OKC,70,31.5,6.2,0.489,1.6,0.365,3.6,0.907,5.0,6.7,1.6,0.2,2.3,17.6
489,Cameron Payne,PG,25,PHO,0,22.9,4.1,0.485,1.9,0.517,0.8,0.857,3.9,3.0,1.0,0.3,1.4,10.9
490,Elfrid Payton,PG,25,NYK,36,27.7,4.3,0.439,0.3,0.203,1.1,0.57,4.7,7.2,1.6,0.4,2.1,10.0
491,Gary Payton II,PG,27,WAS,17,14.9,1.7,0.414,0.4,0.283,0.1,0.5,2.8,1.7,1.1,0.2,0.7,3.9
492,Norvel Pelle,C,26,PHI,0,9.7,1.0,0.521,0.0,0.0,0.3,0.5,3.0,0.3,0.1,1.3,0.8,2.4
493,Theo Pinson,SG,24,BRK,0,11.1,1.4,0.29,0.5,0.188,0.5,0.938,1.6,1.7,0.5,0.1,1.0,3.6
494,Mason Plumlee,C,29,DEN,1,17.3,2.9,0.615,0.0,0.0,1.4,0.535,5.2,2.5,0.5,0.6,1.3,7.2
495,Jakob Poeltl,C,24,SAS,18,17.7,2.5,0.624,0.0,0.0,0.6,0.465,5.7,1.8,0.6,1.4,0.8,5.6
496,Vincent Poirier,C,26,BOS,0,5.9,0.8,0.472,0.0,0.5,0.3,0.857,2.0,0.4,0.1,0.4,0.4,1.9
497,Shamorie Ponds,PG,21,TOR,0,2.8,0.8,0.6,0.3,0.5,0.5,1.0,0.3,0.5,0.0,0.3,0.0,2.3
498,Jordan Poole,SG,20,GSW,14,22.4,2.9,0.333,1.3,0.279,1.7,0.798,2.1,2.4,0.6,0.2,1.3,8.8
499,Kevin Porter Jr.,SF,19,CLE,3,23.2,3.7,0.442,1.1,0.335,1.5,0.723,3.2,2.2,0.9,0.3,1.9,10.0
500,Michael Porter Jr.,PF,21,DEN,8,16.4,3.5,0.509,1.1,0.422,1.1,0.833,4.7,0.8,0.5,0.5,0.9,9.3
501,Otto Porter,SF,26,CHI,9,23.6,4.4,0.443,1.7,0.387,1.4,0.704,3.4,1.8,1.1,0.4,0.8,11.9
502,Bobby Portis,C,24,NYK,5,21.1,4.0,0.45,1.0,0.358,1.1,0.763,5.1,1.5,0.5,0.3,1.1,10.1
503,Kristaps Porziņģis,PF,24,DAL,57,31.8,7.0,0.427,2.5,0.352,4.0,0.799,9.5,1.8,0.7,2.0,1.6,20.4
504,Dwight Powell,C,28,DAL,37,26.5,3.7,0.638,0.3,0.256,1.9,0.667,5.7,1.5,0.9,0.6,0.9,9.4
505,Norman Powell,SG,26,TOR,26,28.4,5.7,0.495,2.1,0.399,2.5,0.843,3.7,1.8,1.2,0.4,1.5,16.0
506,Chasson Randle,PG,26,GSW,0,13.3,0.0,0.0,0.0,0.0,1.7,0.833,0.7,1.7,0.7,0.0,0.0,1.7
507,Julius Randle,PF,25,NYK,64,32.5,7.2,0.46,1.0,0.277,4.0,0.733,9.7,3.1,0.8,0.3,3.0,19.5
508,Josh Reaves,SG,22,DAL,0,7.0,0.8,0.333,0.0,0.0,0.5,1.0,0.8,0.8,0.0,0.0,0.0,2.0
509,Cam Reddish,SF,20,ATL,34,26.7,3.7,0.384,1.4,0.332,1.7,0.802,3.7,1.5,1.1,0.5,1.7,10.5
510,J.J. Redick,SG,35,NOP,36,26.4,4.8,0.453,3.0,0.453,2.8,0.892,2.5,2.0,0.3,0.2,1.3,15.3
511,Naz Reid,C,20,MIN,11,16.5,3.3,0.412,1.1,0.33,1.2,0.698,4.1,1.2,0.6,0.7,0.7,9.0
512,Josh Richardson,SG,26,PHI,53,30.8,5.1,0.43,1.5,0.341,2.1,0.809,3.2,2.9,0.9,0.7,1.9,13.7
513,Austin Rivers,SG,27,HOU,4,23.4,3.1,0.421,1.4,0.356,1.1,0.703,2.6,1.7,0.7,0.1,0.7,8.8
514,Andre Roberson,SG,28,OKC,0,12.4,1.1,0.276,0.4,0.214,0.1,0.5,3.9,0.6,0.1,0.4,0.3,2.9
515,Duncan Robinson,SF,25,MIA,68,29.7,4.4,0.47,3.7,0.446,0.9,0.931,3.2,1.4,0.5,0.3,1.0,13.5
516,Glenn Robinson III,SF,26,TOT,52,28.8,4.6,0.486,1.2,0.391,1.2,0.86,4.4,1.5,0.9,0.3,0.9,11.7
517,Glenn Robinson III,SF,26,GSW,48,31.6,5.1,0.481,1.4,0.4,1.3,0.851,4.7,1.8,0.9,0.3,1.0,12.9
518,Glenn Robinson III,SF,26,PHI,4,19.3,3.1,0.518,0.6,0.333,0.8,0.917,3.1,0.8,0.6,0.1,0.4,7.7
519,Jerome Robinson,SG,22,TOT,6,15.5,1.8,0.371,0.8,0.32,0.6,0.702,2.0,1.4,0.4,0.3,0.8,5.1
520,Jerome Robinson,SG,22,LAC,1,11.3,1.1,0.338,0.5,0.284,0.3,0.579,1.4,1.1,0.3,0.2,0.6,2.9
