,Player,Pos,Age,Tm,GS,MP,FG,FG%,3P,3P%,FT,FT%,TRB,AST,STL,BLK,TOV,PTS
189,Henry Ellenson,PF,23,BRK,0,3.0,0.2,0.143,0.0,0.0,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.4
190,Wayne Ellington,SG,32,NYK,1,15.5,1.7,0.351,1.4,0.35,0.3,0.846,1.8,1.2,0.4,0.1,0.5,5.1
191,Joel Embiid,C,25,PHI,51,29.5,7.5,0.477,1.1,0.331,6.9,0.807,11.6,3.0,0.9,1.3,3.1,23.0
192,James Ennis,SF,29,TOT,18,18.3,2.3,0.446,0.8,0.325,1.1,0.806,3.6,0.9,0.5,0.3,0.8,6.6
193,James Ennis,SF,29,PHI,0,15.8,2.0,0.442,0.8,0.349,1.0,0.787,3.1,0.8,0.5,0.3,0.6,5.8
194,James Ennis,SF,29,ORL,18,24.5,3.0,0.451,0.9,0.286,1.6,0.838,4.8,1.1,0.6,0.4,1.4,8.5
195,Drew Eubanks,PF,22,SAS,3,12.4,2.0,0.642,0.0,1.0,0.9,0.769,3.9,0.7,0.2,0.8,1.0,4.9
196,Jacob Evans,SG,22,TOT,1,14.4,1.6,0.336,0.4,0.333,0.9,0.862,1.4,1.1,0.4,0.4,0.9,4.4
197,Jacob Evans,SG,22,GSW,1,15.3,1.7,0.338,0.5,0.342,0.9,0.862,1.5,1.1,0.4,0.4,0.9,4.7
198,Jacob Evans,SG,22,MIN,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,Dante Exum,SG,24,TOT,1,13.9,1.6,0.471,0.4,0.349,0.9,0.744,1.9,1.1,0.4,0.2,0.9,4.5
200,Dante Exum,SG,24,UTA,0,7.5,0.9,0.435,0.2,0.333,0.2,1.0,1.1,0.6,0.1,0.2,0.9,2.2
201,Dante Exum,SG,24,CLE,1,16.8,1.9,0.479,0.5,0.351,1.3,0.732,2.3,1.4,0.5,0.3,0.9,5.6
202,Tacko Fall,C,24,BOS,0,4.7,1.6,0.786,0.0,0.0,0.1,0.333,2.1,0.1,0.1,0.6,0.4,3.3
203,Derrick Favors,C,28,NOP,49,24.4,4.1,0.617,0.0,0.143,0.8,0.563,9.8,1.6,0.6,0.9,1.1,9.0
204,Cristiano Felício,PF,27,CHI,0,17.5,1.5,0.63,0.0,0.0,0.8,0.783,4.6,0.7,0.5,0.1,0.8,3.9
205,Terrance Ferguson,SF,21,OKC,38,22.4,1.4,0.355,0.9,0.292,0.3,0.75,1.3,0.9,0.5,0.3,0.6,3.9
206,Bruno Fernando,C,21,ATL,13,12.7,1.8,0.518,0.1,0.135,0.5,0.569,3.5,0.9,0.3,0.3,0.8,4.3
207,Yogi Ferrell,PG,26,SAC,0,10.6,1.6,0.42,0.5,0.304,0.7,0.857,1.0,1.4,0.4,0.1,0.6,4.4
208,Dorian Finney-Smith,PF,26,DAL,68,29.9,3.4,0.466,1.6,0.376,1.1,0.722,5.7,1.6,0.6,0.5,1.0,9.5
209,Bryn Forbes,SG,26,SAS,62,25.1,3.8,0.417,2.3,0.388,1.2,0.833,2.0,1.7,0.5,0.0,0.9,11.2
210,Evan Fournier,SG,27,ORL,66,31.5,6.6,0.467,2.6,0.399,2.7,0.818,2.6,3.2,1.1,0.2,1.9,18.5
211,De'Aaron Fox,PG,22,SAC,49,32.0,7.7,0.48,1.1,0.292,4.7,0.705,3.8,6.8,1.5,0.5,3.1,21.1
212,Melvin Frazier,SG,23,ORL,0,6.6,0.8,0.441,0.4,0.5,0.1,0.5,0.5,0.2,0.5,0.1,0.3,2.1
213,Michael Frazier,SG,25,HOU,0,11.2,0.5,0.241,0.3,0.174,0.7,0.643,0.8,0.2,0.2,0.0,0.4,2.1
214,Tim Frazier,PG,29,DET,11,13.1,1.3,0.362,0.4,0.333,0.7,0.792,1.2,3.4,0.5,0.1,1.3,3.6
215,Markelle Fultz,PG,21,ORL,60,27.7,5.0,0.465,0.5,0.267,1.6,0.73,3.3,5.1,1.3,0.2,2.0,12.1
216,Wenyen Gabriel,PF,22,TOT,1,7.8,0.7,0.438,0.2,0.3,0.5,0.682,1.7,0.3,0.4,0.2,0.5,2.1
217,Wenyen Gabriel,PF,22,SAC,0,5.5,0.5,0.353,0.1,0.125,0.5,0.6,0.9,0.3,0.3,0.2,0.5,1.7
218,Wenyen Gabriel,PF,22,POR,1,9.2,0.8,0.484,0.3,0.417,0.5,0.75,2.2,0.3,0.4,0.3,0.6,2.3
219,Daniel Gafford,C,21,CHI,7,14.2,2.2,0.701,0.0,0.0,0.7,0.533,2.5,0.5,0.3,1.3,0.7,5.1
220,Danilo Gallinari,PF,31,OKC,62,29.6,5.8,0.438,2.9,0.405,4.3,0.893,5.2,1.9,0.7,0.1,1.2,18.7
221,Langston Galloway,SG,28,DET,6,25.8,3.6,0.435,2.0,0.399,1.1,0.859,2.3,1.5,0.7,0.2,0.6,10.3
222,Darius Garland,PG,20,CLE,59,30.9,4.7,0.401,1.8,0.355,1.1,0.875,1.9,3.9,0.7,0.1,2.6,12.3
223,Marc Gasol,C,35,TOR,43,26.4,2.7,0.427,1.3,0.385,0.8,0.735,6.3,3.3,0.8,0.9,1.3,7.5
224,Rudy Gay,PF,33,SAS,5,21.8,4.0,0.446,1.1,0.336,1.8,0.882,5.4,1.7,0.5,0.5,1.3,10.8
225,Paul George,SF,29,LAC,48,29.6,7.1,0.439,3.3,0.412,4.0,0.876,5.7,3.9,1.4,0.4,2.6,21.5
226,Taj Gibson,C,34,NYK,56,16.5,2.7,0.584,0.1,0.286,0.7,0.732,4.3,0.8,0.4,0.5,0.8,6.1
227,Harry Giles,PF,21,SAC,17,14.5,3.0,0.554,0.0,0.0,0.8,0.776,4.1,1.3,0.5,0.4,1.0,6.9
228,Shai Gilgeous-Alexander,SG,21,OKC,70,34.7,6.8,0.471,1.2,0.347,4.1,0.807,5.9,3.3,1.1,0.7,1.9,19.0
229,Rudy Gobert,C,27,UTA,68,34.3,5.7,0.693,0.0,0.0,3.7,0.63,13.5,1.5,0.8,2.0,1.9,15.1
230,Brandon Goodwin,PG,24,ATL,1,12.6,2.2,0.4,0.8,0.299,0.8,0.933,2.1,1.5,0.4,0.1,0.9,6.1
231,Aaron Gordon,PF,24,ORL,62,32.5,5.4,0.437,1.2,0.308,2.4,0.674,7.7,3.7,0.8,0.6,1.6,14.4
232,Eric Gordon,SF,31,HOU,15,28.2,4.8,0.369,2.7,0.317,2.3,0.766,2.0,1.5,0.6,0.4,1.2,14.4
233,Devonte' Graham,PG,24,CHO,53,35.1,5.8,0.382,3.5,0.373,3.0,0.82,3.4,7.5,1.0,0.2,2.9,18.2
234,Treveon Graham,SG,26,TOT,20,16.9,1.6,0.36,0.6,0.275,0.7,0.643,2.7,0.8,0.4,0.1,0.5,4.4
235,Treveon Graham,SG,26,MIN,20,20.1,1.9,0.354,0.6,0.241,0.8,0.73,3.0,0.9,0.5,0.1,0.6,5.2
236,Treveon Graham,SG,26,ATL,0,12.1,1.1,0.373,0.6,0.351,0.4,0.474,2.3,0.7,0.3,0.2,0.5,3.3
237,Jerami Grant,PF,25,DEN,24,26.6,4.3,0.478,1.4,0.389,2.1,0.75,3.5,1.2,0.7,0.8,0.9,12.0
238,Jerian Grant,PG,27,WAS,0,13.3,1.7,0.37,0.3,0.25,0.8,0.714,1.0,1.5,0.2,0.2,0.5,4.5
239,Josh Gray,PG,26,NOP,0,11.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.5,1.0
240,Danny Green,SG,32,LAL,68,24.8,2.9,0.416,1.8,0.367,0.5,0.688,3.3,1.3,1.3,0.5,0.9,8.0
241,Draymond Green,PF,29,GSW,43,28.4,2.9,0.389,0.8,0.279,1.5,0.759,6.2,6.2,1.4,0.8,2.3,8.0
242,JaMychal Green,PF,29,LAC,1,20.7,2.4,0.429,1.5,0.387,0.6,0.75,6.2,0.8,0.5,0.4,0.9,6.8
243,Javonte Green,SF,26,BOS,2,9.8,1.3,0.5,0.2,0.273,0.6,0.667,1.9,0.5,0.5,0.2,0.5,3.4
244,Jeff Green,PF-C,33,TOT,4,20.0,3.3,0.462,1.3,0.339,1.5,0.802,2.8,1.0,0.5,0.4,0.9,9.4
245,Jeff Green,PF,33,UTA,2,18.4,2.5,0.385,1.1,0.327,1.6,0.778,2.7,0.7,0.4,0.3,0.9,7.8
246,Jeff Green,C,33,HOU,2,22.6,4.7,0.564,1.6,0.354,1.3,0.857,2.9,1.7,0.8,0.5,0.8,12.2
247,Blake Griffin,PF,30,DET,18,28.4,4.9,0.352,1.5,0.243,4.2,0.776,4.7,3.3,0.4,0.4,2.2,15.5
248,Marko Guduric,SG,24,MEM,0,11.0,1.4,0.395,0.6,0.301,0.5,0.923,1.7,1.0,0.3,0.2,0.8,3.9
249,Kyle Guy,SG,22,SAC,0,3.3,0.7,0.4,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,1.3
250,Rui Hachimura,PF,21,WAS,48,30.1,5.3,0.466,0.5,0.287,2.4,0.829,6.1,1.8,0.8,0.2,1.1,13.5
251,Devon Hall,SG,24,OKC,0,7.4,0.5,0.2,0.4,0.235,0.4,0.5,0.6,1.2,0.4,0.1,0.5,1.8
